Flight,Destination,Links,dep_sch_time,dep_act_time,arr_sch_time,arr_act_time,flight_name2,dest_name2
,,https://www.flightstats.com/v2/flight-tracker/MSC/2475?year=2021&month=9&date=13&flightId=1070509498,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/753?year=2021&month=9&date=13&flightId=1070498632,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TP/7008?year=2021&month=9&date=13&flightId=1070498632,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ME/305?year=2021&month=9&date=13&flightId=1070497638,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/777?year=2021&month=9&date=13&flightId=1070498641,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9502?year=2021&month=9&date=13&flightId=1070505262,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AZ/895?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/DL/6666?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/2916?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/JU/7262?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KE/6308?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SU/4381?year=2021&month=9&date=13&flightId=1070466396,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RBG/1715?year=2021&month=9&date=13&flightId=1070478319,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/901?year=2021&month=9&date=13&flightId=1070534155,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/581?year=2021&month=9&date=13&flightId=1070496315,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/9531?year=2021&month=9&date=13&flightId=1070496315,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9001?year=2021&month=9&date=13&flightId=1070496315,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/UA/9105?year=2021&month=9&date=13&flightId=1070496315,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/8290?year=2021&month=9&date=13&flightId=1070697253,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/U6/7172?year=2021&month=9&date=13&flightId=1070515221,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/509?year=2021&month=9&date=13&flightId=1070498497,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8024?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/7188?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4915?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1311?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/62?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RJ/508?year=2021&month=9&date=13&flightId=1070507057,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/8291?year=2021&month=9&date=13&flightId=1070496412,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RJ/508?year=2021&month=9&date=13&flightId=1070507057,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/62?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1311?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4915?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/7188?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8024?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MSC/8024?year=2021&month=9&date=13&flightId=1070498503,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/509?year=2021&month=9&date=13&flightId=1070498497,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/U6/7172?year=2021&month=9&date=13&flightId=1070515221,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/587?year=2021&month=9&date=13&flightId=1070496333,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/9003?year=2021&month=9&date=13&flightId=1070496333,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9010?year=2021&month=9&date=13&flightId=1070496333,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/719?year=2021&month=9&date=13&flightId=1070534880,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/RBG/1337?year=2021&month=9&date=13&flightId=1070478314,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/610?year=2021&month=9&date=13&flightId=1070498524,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/859?year=2021&month=9&date=13&flightId=1070498594,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EY/4945?year=2021&month=9&date=13&flightId=1070498594,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TK/4629?year=2021&month=9&date=13&flightId=1070498594,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/G9/621?year=2021&month=9&date=13&flightId=1070486197,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/995?year=2021&month=9&date=13&flightId=1070498578,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/739?year=2021&month=9&date=13&flightId=1070498581,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/314?year=2021&month=9&date=13&flightId=1070510956,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/1105?year=2021&month=9&date=13&flightId=1070502001,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/EK/926?year=2021&month=9&date=13&flightId=1070478645,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/3L*/429?year=2021&month=9&date=13&flightId=1070450000,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AF/551?year=2021&month=9&date=13&flightId=1070462911,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/DL/8623?year=2021&month=9&date=13&flightId=1070462911,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KL/2361?year=2021&month=9&date=13&flightId=1070462911,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LX/239?year=2021&month=9&date=13&flightId=1070497337,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9270?year=2021&month=9&date=13&flightId=1070497337,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/NP/1143?year=2021&month=9&date=13&flightId=1070502074,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/SV/308?year=2021&month=9&date=13&flightId=1070510990,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/453?year=2021&month=9&date=13&flightId=1070479065,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/1978?year=2021&month=9&date=13&flightId=1070479065,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9462?year=2021&month=9&date=13&flightId=1070479065,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/PS/9639?year=2021&month=9&date=13&flightId=1070479065,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/2697?year=2021&month=9&date=13&flightId=1070534928,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/TK/693?year=2021&month=9&date=13&flightId=1070512210,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9291?year=2021&month=9&date=13&flightId=1070512210,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/A3/931?year=2021&month=9&date=13&flightId=1070455240,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/1805?year=2021&month=9&date=13&flightId=1070455240,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9231?year=2021&month=9&date=13&flightId=1070455240,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/KU/544?year=2021&month=9&date=13&flightId=1070494309,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/LH/585?year=2021&month=9&date=13&flightId=1070496371,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/AC/9599?year=2021&month=9&date=13&flightId=1070496371,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/MS/9009?year=2021&month=9&date=13&flightId=1070496371,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/UA/9025?year=2021&month=9&date=13&flightId=1070496371,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/PS/398?year=2021&month=9&date=13&flightId=1070505262,,,,,,
,,https://www.flightstats.com/v2/flight-tracker/ET/4244?year=2021&month=9&date=13&flightId=1070505262,,,,,,
